Термин,Определение
Абзац,"фрагмент текста, заканчивающийся нажатием клавиши Enter."
Алгоритм,"точное и понятное указание исполнителю совершить конечную последовательность действий, направленных на достижение указанной цели или на решение поставленной задачи."
Алгоритмизация,разработка алгоритма решения задачи.
Алгоритмический язык,см. язык программирования.
Алфавит,"конечное множество объектов, называемых буквами или символами."
Аппаратный интерфейс,"устройство, обеспечивающее согласование между отдельными блоками вычислительной системы."
Арифметическо-логическое устройство,"часть процессора, предназначенная для выполнения арифметических и логических операций."
Архивация данных,"организация хранения данных в удобной и легкодоступной форме, снижающей затраты на хранение и повышающей общую надежность информационного процесса."
Архитектура ЭВМ,"общее описание структуры и функций ЭВМ на уровне, достаточном для понимания принципов работы и системы команд ЭВМ. Архитектура не включает в себя описание деталей технического и физического устройства компьютера."
База данных,"хранящаяся во внешней памяти ЭВМ совокупность взаимосвязанных данных, организованных по определенным правилам, предусматривающим общие принципы их описания, хранения и обработки."
Базовая аппаратная конфигурация,"типовой набор устройств, входящих в вычислительную систему. Включает в себя системный блок, клавиатуру, мышь и монитор."
Базовое программное обеспечение,"совокупность программ, обеспечивающих взаимодействие компьютера с базовыми аппаратными средствами."
Байт,"1. восьмиразрядное двоичное число; 2. элемент памяти, позволяющий хранить восьмиразрядное двоичное число."
Буфер обмена,"область оперативной памяти, к которой имеют доступ все приложения и в которую они могут записывать данные или считывать их."
Векторный редактор,"графический редактор, использующий в качестве элемента изображения линию, являющуюся кривой третьего порядка. Используется, когда форма линии важнее информации о цвете."
Видеопамять,"участок оперативной памяти компьютера, в котором хранится код изображения, выводимого на дисплей."
Внедрение,"включение объекта в документ, созданный другим приложением."
Внешняя память,"память большого объема, служащая для долговременного хранения программ и данных."
Вычислительная сеть (компьютерная сеть),соединение двух и более компьютеров с помощью линий связи с целью объединения их ресурсов.
Базовое программное обеспечение,"совокупность программ, обеспечивающих взаимодействие компьютера с базовыми аппаратными средствами."
Гибкий магнитный диск,"устройство, предназначенное для переноса документов и программ с одного компьютера на другой, хранения архивных копий программ и данных, не используемых постоянно на компьютере."
Графический редактор,"программа, предназначенная для создания и обработки графических изображений."
Данные,зарегистрированные сигналы.
Диаграмма,любой видов графического представления данных в электронной таблице.
Диалоговое окно,"разновидностью окна, позволяющая пользователю вводить в компьютер информацию."
Диалоговый режим,"режим работы операционной системы, в котором она находится в ожидании команды пользователя, получив её, приступает к исполнению, а после завершения возвращает отклик и ждёт очередной команды."
Диапазон,"совокупность ячеек электронной таблицы, образующихся на пересечении группы последовательно идущих строк и столбцов."
Диспетчер файлов (файловый менеджер),"программа, выполняющая операции по обслуживанию файловой системы."
Документ Windows,"любой файл, обрабатываемый с помощью приложений, работающих под управлением операционной системы Windows."
Драйвер,"программа, обеспечивающая взаимодействие компьютера с внешним устройством."
Жесткий магнитный диск (ЖМД),"внешняя память компьютера, предназначенная для постоянного хранения данных, программ операционной системы и часто используемых пакетов программ."
Запрос,"объект, служащий для извлечения данных из таблиц и предоставления их пользователю в удобном виде."
Защита данных,"комплекс мер, направленных на предотвращение утраты, воспроизведения и модификации данных."
